,otg_id,electrical_capacity,geom
7338,24064,16.66,0101000020E6100000BAE921F514BA2540DAC44D12CF344A40
7339,24618,37.19,0101000020E6100000BE7F1F6A70572140585107E7A2334940
7340,24618,0,0101000020E6100000BE7F1F6A70572140585107E7A2334940
7341,24830,36.33,0101000020E61000002BA2B00C6C3521403135BFE796D54940
7342,25202,0,0101000020E6100000E5BA2826E2FB25408AD97594140D4940
7343,25202,16.84,0101000020E6100000E5BA2826E2FB25408AD97594140D4940
7344,25202,36.65,0101000020E6100000E5BA2826E2FB25408AD97594140D4940
7345,25202,0,0101000020E6100000E5BA2826E2FB25408AD97594140D4940
7346,27106,16.53,0101000020E6100000F6EE2B874C6A2B4032107AD28ED04940
7347,27106,0,0101000020E6100000F6EE2B874C6A2B4032107AD28ED04940
7348,27106,16.52,0101000020E6100000F6EE2B874C6A2B4032107AD28ED04940
7349,27106,0,0101000020E6100000F6EE2B874C6A2B4032107AD28ED04940
7350,27106,17.25,0101000020E6100000F6EE2B874C6A2B4032107AD28ED04940
7351,27106,0,0101000020E6100000F6EE2B874C6A2B4032107AD28ED04940
7352,27111,17.21,0101000020E61000000CAD9FCD969C27403E0288CB02A64940
7353,27111,0,0101000020E61000000CAD9FCD969C27403E0288CB02A64940
7354,27111,0,0101000020E61000000CAD9FCD969C27403E0288CB02A64940
7355,27111,16.27,0101000020E61000000CAD9FCD969C27403E0288CB02A64940
7356,27111,0,0101000020E61000000CAD9FCD969C27403E0288CB02A64940
7357,27111,34.73,0101000020E61000000CAD9FCD969C27403E0288CB02A64940
7358,27856,0,0101000020E610000033C9DD7A14CC2940D41FDDDF634E4A40
7359,27856,0,0101000020E610000033C9DD7A14CC2940D41FDDDF634E4A40
7360,24618,16.30,0101000020E6100000193524362D4D214043CFFDEB803B4940
7361,24618,0,0101000020E6100000193524362D4D214043CFFDEB803B4940
7362,24618,0,0101000020E6100000193524362D4D214043CFFDEB803B4940
7363,24618,36.31,0101000020E6100000193524362D4D214043CFFDEB803B4940
7364,26575,37.55,0101000020E6100000804119B389812140AC4C12C1104E4940
7365,26575,0,0101000020E6100000804119B389812140AC4C12C1104E4940
7366,23973,0,0101000020E61000001A96E76159312540A1F3C6D9B3CA4840
7367,23973,36.73,0101000020E61000001A96E76159312540A1F3C6D9B3CA4840
7368,27665,0,0101000020E61000008C5368ED58F52140D7647E4450254940
7369,27665,6.14,0101000020E61000008C5368ED58F52140D7647E4450254940
7370,27665,37.77,0101000020E61000008C5368ED58F52140D7647E4450254940
7371,27665,0,0101000020E61000008C5368ED58F52140D7647E4450254940
7372,24347,0,0101000020E6100000610C15C8A65923408DD830FEC7D74A40
7373,24347,38.08,0101000020E6100000610C15C8A65923408DD830FEC7D74A40
7374,27339,0,0101000020E6100000C11A0E8BA24424405E22DA8355014A40
