1,POINT (11.78608318673427 48.14463195814267)
2,POINT (10.63044881334645 54.3038553456884)
3,POINT (8.361065329968428 50.0520004512402)
4,POINT (8.589058466369051 50.20030167028298)
5,POINT (9.812235670565178 50.75809610168433)
6,POINT (12.4639940691871 48.03440519070256)
7,POINT (12.58723301754536 51.28025785364321)
8,POINT (9.505964914717101 50.59252865981981)
9,POINT (8.175230935792083 49.26876706575576)
10,POINT (6.154503700100674 50.7551356699617)
11,POINT (6.252594696454937 50.80552544756835)
12,POINT (6.282303078394886 50.89170444159974)
13,POINT (6.81677026983803 51.09897029373442)
14,POINT (6.619665760535932 51.27345800541539)
15,POINT (7.609496712842869 49.19931212791275)
16,POINT (7.192756106143731 53.36434140231691)
17,POINT (7.743004915498953 51.69833644269568)
18,POINT (8.26966129451174 49.88376687817428)
19,POINT (8.249302426415541 49.91451037616446)
20,POINT (8.615229090815939 50.34218600707297)
21,POINT (8.596591011260884 52.05032281111371)
22,POINT (8.504862531187957 52.71048540159514)
23,POINT (8.846757281050699 49.94913599461068)
24,POINT (8.752268189086315 50.05899347871284)
25,POINT (8.650498159145977 50.40374094473557)
26,POINT (9.075601378331161 50.59811917383292)
27,POINT (8.884663834149622 50.75786550977254)
28,POINT (8.707030692864983 50.60651680092732)
29,POINT (8.849449429161689 50.61824709849078)
30,POINT (9.09257622619544 50.58162108706341)
31,POINT (8.816873246396204 50.773856336521)
32,POINT (8.766679404714949 50.80688942135054)
33,POINT (8.747785144848136 50.77218995031335)
34,POINT (8.988887648152106 52.82347664086497)
35,POINT (8.811593234960753 52.90936395917955)
36,POINT (9.198719684313865 49.83175807695953)
37,POINT (9.176170371184247 50.01862443257976)
38,POINT (9.201199590381036 50.02409982051411)
39,POINT (9.225719407256552 49.97069792454344)
40,POINT (9.367657059334608 50.02881778499344)
41,POINT (9.187692354266169 50.19837694635414)
42,POINT (9.033570010128733 50.16889684775281)
43,POINT (9.114325238456917 50.17853542382881)
44,POINT (9.394380443113825 50.29183925484848)
45,POINT (9.676809054881197 50.46452010330775)
46,POINT (9.519022449442664 51.97205324614009)
47,POINT (9.505147334866825 52.42993921473639)
48,POINT (9.965980847929888 49.77969152663798)
49,POINT (9.903919447299838 49.65053818093094)
50,POINT (9.788474436771327 50.30988951943438)
51,POINT (9.666522757829831 50.83418445366948)
52,POINT (9.984366638503076 50.80728170364437)
53,POINT (9.65924714171225 51.11507511147649)
54,POINT (10.07005042105588 51.20556169960886)
55,POINT (10.01744977616873 51.21574568326356)
56,POINT (9.876428711589625 52.06750343793738)
57,POINT (9.706681473485453 52.37826595058761)
58,POINT (9.975078230676512 53.44101983199781)
59,POINT (9.821256262982882 53.57696747303503)
60,POINT (9.976908231824114 53.78076253034938)
61,POINT (9.946029461157229 54.09818658194456)
62,POINT (9.689326548277515 54.59380109755102)
63,POINT (10.23315497348527 49.54673105959593)
64,POINT (10.02761136639239 49.68097487732658)
65,POINT (10.26264456498877 49.70241917244484)
66,POINT (10.23044322950134 49.68024564536064)
67,POINT (10.35500145881275 50.01219191692478)
68,POINT (10.17320109158146 50.09635521562242)
69,POINT (10.3130455743872 50.02244150422968)
70,POINT (10.15389384961118 50.26368216654815)
71,POINT (9.959521951104968 50.20141406123116)
72,POINT (10.05743156651871 50.06110374431527)
73,POINT (10.13108422055546 50.12863216088461)
74,POINT (10.23303235591526 50.4582045062811)
75,POINT (10.11641226695864 51.12495520162701)
76,POINT (10.10463827414541 51.81939240862104)
77,POINT (10.02696441560993 52.11552799617362)
78,POINT (10.08174617545867 52.14870784413507)
79,POINT (10.17912682666688 52.436506674907)
80,POINT (10.42247109527325 52.86963398094308)
81,POINT (10.1466084338694 53.34396434150212)
82,POINT (9.950640500625335 53.64924677053628)
83,POINT (10.38187664451522 54.32913594778113)
84,POINT (10.49952229145657 49.8865222632101)
85,POINT (10.47886434815903 50.03174179868773)
86,POINT (10.5506343096417 50.02880250888199)
87,POINT (10.79906409392561 50.06333518015295)
88,POINT (10.44371472129646 50.28812127057797)
89,POINT (10.35806099095974 51.00453045108884)
90,POINT (10.66622779974974 52.17112725510388)
91,POINT (10.66622779974974 52.17112725510388)
92,POINT (10.41492954331953 52.18978379804143)
93,POINT (10.71026543642782 52.23833757040098)
94,POINT (10.65720882515499 52.29427258326523)
95,POINT (10.50369475730132 53.38629965705621)
96,POINT (10.50369475730132 53.38629965705621)
97,POINT (10.50369475730132 53.38629965705621)
98,POINT (10.70878237793829 53.7960548095639)
99,POINT (10.85987186767311 47.766787637869)
100,POINT (11.09010814655852 48.19858316078415)
101,POINT (10.81286322100232 48.07566597918888)
102,POINT (10.81286322100232 48.07566597918888)
