source_id,name,co2_emissions,commentary
1,'gas'
2,'lignite'
3,'waste'
4,'oil'
5,'uranium'
6,'biomass'
7,'eeg_gas'
8,'coal'
9,'run_of_river'
10,'reservoir'
11,'pumped_storage'
12,'solar'
13,'wind'
14,'geothermal'
15,'other_non_renewable'
16,'extendable_storage'
